name;url;locationCoordinate;locationCountry;locationRegion;elevationTopM;elevationDifferenceM;totalSlopeLengthKm;numberOfLifts;numberOfSlopes;annualSnowfallCm;id
4 Vallées (Verbier);http://www.4vallees.ch;{'lat': '46.1013', 'long': '7.2263'};Switzerland;Valais;3330.0;1980.0;412.0;68.0;307.0;500.0;8271045547
Matterhorn (Zermatt/Cervinia);https://www.matterhornparadise.ch/;{'lat': '45.9845', 'long': '7.7481'};Switzerland;Valais;3899.0;2337.0;322.0;51.0;69.0;450.0;7011713339
Les 3 Vallées (Val Thorens/Méribel/Courchevel);https://www.les3vallees.com/;{'lat': '45.295', 'long': '6.580'};France;Savoie;3230.0;2130.0;600.0;156.0;61.0;500.0;2530870756
Chamonix Mont-Blanc;https://www.chamonix.com;{'lat': '45.9237', 'long': '6.8694'};France;Auvergne-Rhône-Alpes;3842.0;2807.0;152.0;65.0;102.0;450.0;5172036630
Zell am See-Kaprun;https://www.zellamsee-kaprun.com/;{'lat': '47.3231', 'long': '12.7768'};Austria;Schwaz;3029.0;2261.0;138.0;49.0;26.0;600.0;8574995022
La Plagne;https://www.la-plagne.com/;{'lat': '45.5078', 'long': '6.6770'};France;Savoie;3167.0;1960.0;225.0;74.0;225.0;500.0;4271181653
Tignes – Val d'Isère;https://www.tignes.net/;{'lat': '45.4691', 'long': '6.9051'};France;Savoie;3456.0;1906.0;300.0;79.0;130.0;500.0;2957654843
Ski Arlberg (St.Anton);https://www.skiarlberg.at/;{'lat': '47.128', 'long': '10.228'};Austria;Tyrol;2811.0;1507.0;301.0;85.0;93.0;400.0;6721349875
Alpe d'Huez;https://www.alpedhuez.com/;{'lat': '45.0915', 'long': '6.0668'};France;Isère;3330.0;2205.0;250.0;69.0;3.0;450.0;1342209047
Les Portes du Soleil;https://www.portesdusoleil.com/;{'lat': '46.2090', 'long': '6.7766'};Switzerland;Valais;2254.0;1269.0;580.0;165.0;53.0;700.0;3033516175
Palisades Tahoe;https://www.palisadestahoe.com;{'lat': '39.1971', 'long': '-120.2357'};USA;California;2745.0;855.0;200.0;43.0;43.0;1194.0;5120979343
Saalbach Hinterglemm;https://www.saalbach.com/;{'lat': '47.3925', 'long': '12.6360'};Austria;Pinzgau;2096.0;1266.0;270.0;70.0;82.0;600.0;7120910388
White Grizzly;https://www.whitegrizzly.com/;{'lat': '50.053227', 'long': '-117.058441'};Canada;British Columbia;2500.0;1840.0;280.0;4.0;20.0;1200.0;1708218616
Les Arcs;https://www.lesarcs-peiseyvallandry.com/;{'lat': '45.5761', 'long': '6.7811'};France;Savoie;3226.0;2026.0;200.0;53.0;200.0;500.0;1968761193
Le Grand Massif;https://www.grand-massif.com/;{'lat': '46.0086', 'long': '6.6876'};France;Haute-Savoie;2480.0;1783.0;265.0;62.0;141.0;600.0;5192415019
Mayrhofen;https://www.mayrhofen.at/de/pages/mountopolis-startseite-winter;{'lat': '47.1625', 'long': '11.8613'};Austria;Schwaz;2500.0;1870.0;142.0;58.0;85.0;600.0;4139958949
Whistler Blackcomb;https://www.whistlerblackcomb.com/;{'lat': '50.1150', 'long': '-122.9463'};Canada;British Columbia;2284.0;1609.0;200.0;27.0;61.0;1182.0;1178634096
Park City;https://www.parkcitymountain.com/;{'lat': '40.6514', 'long': '-111.5076'};USA;Utah;3048.0;975.0;250.0;42.0;213.0;900.0;6124510216
Les 2 Alpes;https://www.les2alpes.com;{'lat': '45.0063', 'long': '6.1183'};France;Isère;3523.0;2243.0;200.0;44.0;85.0;400.0;3459966718
Niseko United;https://www.niseko.ne.jp/en/;{'lat': '42.8048', 'long': '140.6874'};Japan;Hokkaido;1188.0;933.0;51.0;32.0;59.0;1500.0;9448631714
Jackson Hole;https://www.jacksonhole.com/;{'lat': '43.5875', 'long': '-110.8277'};USA;Wyoming;3185.0;1261.0;116.0;13.0;116.0;1200.0;7117167063
Serre Chevalier;https://serrechevalier-pass.com/;{'lat': '44.9442', 'long': '6.5899'};France;Provence-Alpes-Côte d’Azur;2800.0;1600.0;250.0;59.0;76.0;500.0;7361003298
Arosa Lenzerheide;https://arosalenzerheide.swiss/;{'lat': '46.7381', 'long': '9.5584'};Switzerland;Graubünden;2865.0;1636.0;225.0;43.0;43.0;500.0;8239133135
Silvretta Arena (Ischgl);https://www.ischgl.com/;{'lat': '46.9872', 'long': '10.2875'};Austria;Tyrol;2872.0;1512.0;239.0;46.0;0.0;550.0;4618056283
SkiWelt;https://www.skiwelt.at/;{'lat': '47.4558533', 'long': '12.2083789'};Austria;Tyrol;1869.0;1249.0;270.0;82.0;60.0;400.0;4474867165
Megève/Saint-Gervais;https://www.ski-saintgervais.com;{'lat': '45.8545', 'long': '6.6163'};France;Haute-Savoie;2353.0;1503.0;263.0;80.0;73.0;450.0;8589869141
Les Sybelles;https://www.sybelles.ski/;{'lat': '45.2446', 'long': '6.2710'};France;Savoie;2620.0;1520.0;310.0;68.0;57.0;500.0;9419644952
Serfaus-Fiss-Ladis;https://www.serfaus-fiss-ladis.at/;{'lat': '47.0425', 'long': '10.6056'};Austria;Landeck;2828.0;1628.0;186.0;38.0;65.0;400.0;1638566123
Big Sky Resort;https://bigskyresort.com/;{'lat': '45.2845', 'long': '-111.4014'};USA;Montana;3398.0;1326.0;250.0;38.0;300.0;1016.0;1251261259
Sölden;https://www.soelden.com/;{'lat': '46.969784', 'long': '11.010108'};Austria;Imst;3340.0;1990.0;147.0;31.0;65.0;300.0;1427599041
Monterosa Ski;https://www.visitmonterosa.com/;{'lat': '45.8456', 'long': '7.9362'};Italy;Aosta Valley and Piedmont;3275.0;2063.0;132.0;20.0;123.0;600.0;4596142667
Hintertux Glacier;https://www.hintertuxergletscher.at/;{'lat': '47.0957', 'long': '11.6677'};Austria;Bezirk Schwaz;3250.0;1750.0;62.0;21.0;3.0;600.0;1922986942
Val Gardena;https://www.valgardena.it/;{'lat': '46.5561', 'long': '11.6743'};Italy;Trentino-Alto Adige;2518.0;1282.0;181.0;79.0;79.0;300.0;2799572713
Engelberg - Titlis;https://www.engelberg.ch/;{'lat': '46.8208', 'long': '8.4114'};Switzerland;Obwalden;3020.0;2017.0;80.0;28.0;63.0;500.0;1229755061
Grandvalira;https://www.grandvalira.com/;{'lat': '42.5428', 'long': '1.7336'};Andorra;Encamp;2640.0;930.0;215.0;74.0;54.0;500.0;1447924852
Via Lattea;https://www.vialattea.it/;{'lat': '44.9555', 'long': '6.8769'};Italy;Piedmont (Piemonte);2789.0;1251.0;400.0;70.0;128.0;500.0;1246148959
Snowmass;https://www.aspensnowmass.com/;{'lat': '39.2097', 'long': '-106.9378'};USA;Colorado;3813.0;1340.0;237.0;20.0;40.0;760.0;4584476004
Laax;https://www.flimslaax.com/;{'lat': '46.8466', 'long': '9.2630'};Switzerland;Graubünden;3018.0;1918.0;214.0;28.0;63.0;520.0;9374167610
Parsenn;https://www.davosklostersmountains.ch/de/mountains/berge/parsenn;{'lat': '46.8326', 'long': '9.8093'};Switzerland;Graubünden;2844.0;2034.0;95.0;18.0;48.0;400.0;9158117044
Madonna di Campiglio/Pinzolo/Folgàrida/Marilleva;https://www.ski.it/;{'lat': '46.2276', 'long': '10.8265'};Italy;Trentino-Alto Adige;2504.0;1652.0;155.0;58.0;73.0;350.0;3921595810
Beaver Creek;https://www.beavercreek.com/;{'lat': '39.6043', 'long': '-106.5167'};USA;Colorado;3488.0;1233.0;150.0;25.0;47.0;752.0;9744727371
KitzSki (Kitzbühel);https://www.kitzski.at/;{'lat': '47.444167', 'long': '12.392778'};Austria;Tiryol;2000.0;1200.0;188.0;58.0;82.0;400.0;7618248552
Saas-Fee;https://www.saas-fee.ch;{'lat': '46.107882', 'long': '7.928735'};Switzerland;Valais;3573.0;1773.0;100.0;23.0;35.0;600.0;5066326302
Steamboat;https://www.steamboat.com/;{'lat': '40.4850', 'long': '-106.8317'};USA;Colorado;3221.0;1118.0;165.0;20.0;0.0;760.0;2245251046
Kaltenbach – Hochzillertal;https://www.hochzillertal.com/;{'lat': '47.2988', 'long': '11.8978'};Austria;Schwaz;2378.0;1778.0;85.6;40.0;78.0;450.0;5828744063
